'voter_id','voter_name','votee_id','votee_name','post_id','datetime','game','page'
'39','Dr. Agon','9','Ben','10625','April 05, 2009, 06:06:39 PM','8','7'
'18','SwoopDoggyDog','85','eep','48957','October 06, 2013, 12:06:47 PM','42','2'
'18','SwoopDoggyDog','94','Trientalis','49180','October 14, 2013, 01:28:17 PM','42','7'
'18','SwoopDoggyDog','39','Dr. Agon','50217','December 11, 2013, 02:56:10 PM','43','5'
'18','SwoopDoggyDog','85','eep','50322','December 14, 2013, 04:43:30 PM','43','10'
'18','SwoopDoggyDog','199','vorporeal','50351','December 15, 2013, 09:58:03 PM','43','12'
'18','SwoopDoggyDog','94','Trientalis','50388','December 16, 2013, 08:34:51 PM','43','14'
'18','SwoopDoggyDog','199','vorporeal','50481','December 20, 2013, 02:59:16 PM','43','20'
'18','SwoopDoggyDog','52','guy','50815','January 16, 2014, 04:35:52 PM','44','1'
'17','Lymric','49','Iron','50864','January 17, 2014, 12:31:07 PM','44','4'
'18','SwoopDoggyDog','85','eep','50914','January 17, 2014, 05:53:27 PM','44','7'
'18','SwoopDoggyDog','206','yeagz','51107','January 19, 2014, 07:53:06 PM','44','16'
'18','SwoopDoggyDog','85','eep','51150','January 20, 2014, 02:37:47 PM','44','19'
'18','SwoopDoggyDog','206','yeagz','51190','January 20, 2014, 05:18:08 PM','44','21'
'17','Lymric','49','Iron','51853','January 30, 2014, 01:40:59 PM','44','50'
'17','Lymric','0','abstain','51922','February 03, 2014, 04:58:53 PM','44','53'
'17','Lymric','49','Iron','52052','February 05, 2014, 03:06:13 PM','44','58'
'18','SwoopDoggyDog','5','Cole','52841','February 27, 2014, 06:00:21 PM','45','9'
'17','Lymric','114','Death Butt','53119','March 06, 2014, 09:50:18 AM','45','18'
'18','SwoopDoggyDog','114','Death Butt','53135','March 06, 2014, 10:57:41 PM','45','19'
'18','SwoopDoggyDog','117','Cameroni&Cheese','53511','March 16, 2014, 12:54:41 PM','46','1'
'18','SwoopDoggyDog','52','guy','53778','March 18, 2014, 12:58:35 PM','46','14'
'18','SwoopDoggyDog','20','Phil','53887','March 19, 2014, 12:56:45 PM','46','17'
'18','SwoopDoggyDog','118','Modi Thorson','53918','March 19, 2014, 04:16:11 PM','46','18'
'18','SwoopDoggyDog','20','Phil','53933','March 19, 2014, 04:34:48 PM','46','19'
'18','SwoopDoggyDog','20','Phil','53934','March 19, 2014, 04:35:14 PM','46','19'
'18','SwoopDoggyDog','0','abstain','53955','March 19, 2014, 05:43:01 PM','46','20'
'18','SwoopDoggyDog','118','Modi Thorson','53981','March 19, 2014, 06:40:25 PM','46','22'
'18','SwoopDoggyDog','208','Rocuronium','54379','March 22, 2014, 07:25:56 PM','46','32'
'32','zoomlaski6','117','Cameroni&Cheese','54697','March 26, 2014, 06:41:34 PM','46','44'
'18','SwoopDoggyDog','206','yeagz','54707','March 26, 2014, 07:02:35 PM','46','45'
'18','SwoopDoggyDog','203','liftedpixel','54910','March 28, 2014, 02:59:19 PM','46','51'
'32','zoomlaski6','114','Death Butt','55084','March 31, 2014, 02:34:10 PM','46','57'
'18','SwoopDoggyDog','5','Cole','55085','March 31, 2014, 02:45:52 PM','46','57'
'32','zoomlaski6','0','abstain','55451','April 03, 2014, 06:27:28 PM','46','70'
'18','SwoopDoggyDog','52','guy','55480','April 03, 2014, 10:04:25 PM','46','71'
'32','zoomlaski6','85','eep','55504','April 04, 2014, 05:24:54 PM','46','72'
'32','zoomlaski6','201','xazarus','55808','April 10, 2014, 03:55:30 PM','46','86'
'32','zoomlaski6','12','Dietcar','55847','April 10, 2014, 07:37:06 PM','46','88'
'32','zoomlaski6','201','xazarus','55870','April 10, 2014, 09:59:57 PM','46','89'
'32','zoomlaski6','201','xazarus','56092','April 13, 2014, 11:42:43 PM','46','95'
'32','zoomlaski6','94','Trientalis','56415','April 17, 2014, 12:39:14 PM','46','99'
'32','zoomlaski6','52','guy','56718','April 23, 2014, 12:17:18 AM','46','101'
'32','zoomlaski6','120','ktern','56725','April 23, 2014, 08:45:58 AM','46','102'
'32','zoomlaski6','114','Death Butt','56739','April 23, 2014, 03:38:39 PM','46','102'
'18','SwoopDoggyDog','201','xazarus','57022','April 27, 2014, 07:02:13 PM','47','9'
'17','Lymric','20','Phil','57230','April 29, 2014, 08:51:30 PM','47','19'
'32','zoomlaski6','208','Rocuronium','57407','May 04, 2014, 08:30:34 PM','47','26'
'32','zoomlaski6','114','Death Butt','57523','May 08, 2014, 03:11:00 PM','47','32'
'17','Lymric','208','Rocuronium','57554','May 09, 2014, 05:31:31 PM','47','34'
'17','Lymric','13','AzraelJaffar','57560','May 09, 2014, 08:04:36 PM','47','34'
'17','Lymric','208','Rocuronium','57762','May 15, 2014, 08:28:13 PM','47','42'
'32','zoomlaski6','208','Rocuronium','57765','May 15, 2014, 08:39:05 PM','47','42'
'32','zoomlaski6','117','Cameroni&Cheese','57819','May 16, 2014, 09:10:41 PM','47','44'
'32','zoomlaski6','208','Rocuronium','57940','May 19, 2014, 10:21:06 PM','47','47'
'18','SwoopDoggyDog','49','Iron','59990','July 14, 2014, 05:30:38 PM','49','7'
'18','SwoopDoggyDog','94','Trientalis','60005','July 15, 2014, 10:52:36 AM','49','8'
